Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,0
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,1
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,1
LP002455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,1
LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,1
LP002467,Male,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,0
LP002472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,1
LP002473,Male,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,0
LP002484,Male,Yes,3,Graduate,No,7740,0,128,180,1,Urban,1
LP002487,Male,Yes,0,Graduate,No,3015,2188,153,360,1,Rural,1
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,0
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,1
LP002500,Male,Yes,3,Not Graduate,No,2947,1664,70,180,0,Urban,0
LP002505,Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,0
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,1
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,0
LP002519,Male,Yes,3,Graduate,No,4691,0,100,360,1,Semiurban,1
LP002524,Male,No,2,Graduate,No,5532,4648,162,360,1,Rural,1
LP002527,Male,Yes,2,Graduate,Yes,16525,1014,150,360,1,Rural,1
LP002529,Male,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,1
LP002531,Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,1
LP002534,Female,No,0,Not Graduate,No,4350,0,154,360,1,Rural,1
LP002536,Male,Yes,3,Not Graduate,No,3095,0,113,360,1,Rural,1
LP002537,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,1
LP002541,Male,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,1
LP002543,Male,Yes,2,Graduate,No,8333,0,246,360,1,Semiurban,1
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,1
LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,0
LP002547,Male,Yes,1,Graduate,No,18333,0,500,360,1,Urban,0
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,1
LP002556,Male,No,0,Graduate,No,2435,0,75,360,1,Urban,0
LP002571,Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,1
LP002582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,1
LP002585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,0
LP002586,Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,1
LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,1
LP002600,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,1
LP002602,Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,0
LP002603,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,1
LP002606,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,1
LP002615,Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,1
LP002619,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,1
LP002622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,1
LP002626,Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,1
LP002634,Female,No,1,Graduate,No,13262,0,40,360,1,Urban,1
LP002637,Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,0
LP002640,Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,1
LP002643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,1
LP002648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,0
LP002652,Male,No,0,Graduate,No,5815,3666,311,360,1,Rural,0
LP002659,Male,Yes,3,Graduate,No,3466,3428,150,360,1,Rural,1
LP002670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,1
LP002683,Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,0
LP002684,Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,0
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,1
LP002690,Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,1
LP002692,Male,Yes,3,Graduate,Yes,5677,1424,100,360,1,Rural,1
LP002693,Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,1
LP002699,Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,1
LP002705,Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,1
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,1
LP002714,Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,1
LP002716,Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,1
LP002720,Male,Yes,3,Graduate,No,4281,0,100,360,1,Urban,1
LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,0
LP002731,Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,1
LP002734,Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,1
LP002738,Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,1
LP002739,Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,0
LP002740,Male,Yes,3,Graduate,No,6417,0,157,180,1,Rural,1
LP002741,Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,1
LP002743,Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,0
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,1
LP002767,Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,1
LP002768,Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,0
LP002772,Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,1
LP002776,Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,0
LP002777,Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,1
LP002785,Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,1
LP002788,Male,Yes,0,Not Graduate,No,2454,2333,181,360,0,Urban,0
LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,0
LP002792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,1
LP002795,Male,Yes,3,Graduate,Yes,10139,0,260,360,1,Semiurban,1
LP002798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,1
LP002804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,1
LP002807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,1
LP002813,Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,1
LP002820,Male,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,1
LP002821,Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,1
LP002832,Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,0
LP002836,Male,No,0,Graduate,No,3333,0,70,360,1,Urban,1
LP002837,Male,Yes,3,Graduate,No,3400,2500,123,360,0,Rural,0
LP002840,Female,No,0,Graduate,No,2378,0,9,360,1,Urban,0
LP002841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,0
LP002842,Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,1
LP002855,Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,1
LP002862,Male,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,0
LP002863,Male,Yes,3,Graduate,No,6406,0,150,360,1,Semiurban,0
LP002868,Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,1
LP002874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,1
LP002877,Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,1
LP002892,Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,1
LP002893,Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,0
LP002894,Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,1
LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,0
LP002912,Male,Yes,1,Graduate,No,4283,3000,172,84,1,Rural,0
LP002916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,1
LP002917,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,1
LP002926,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,0
LP002928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,1
LP002931,Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,0
LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,1
LP002938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,1
LP002940,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,1
LP002941,Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,0
LP002945,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,1
LP002948,Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,1
LP002953,Male,Yes,3,Graduate,No,5703,0,128,360,1,Urban,1
LP002958,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,1
LP002959,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,1
LP002961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,1
LP002964,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,1
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,1
LP002978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,1
LP002979,Male,Yes,3,Graduate,No,4106,0,40,180,1,Rural,1
LP002983,Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,1
LP002984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,1
LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,0
LP002978,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,0
LP002979,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,1
LP002983,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,1
LP002984,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,1
LP002990,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,1
LP002978,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,1
LP002979,Male,Yes,3,Graduate,No,3036,2504,158,360,0,Semiurban,0
LP002983,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,1
LP002984,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,0
LP002990,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,1
LP002978,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,1
LP002979,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,0
LP002983,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,1
LP002984,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,1
LP002990,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,0
LP002978,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,0
LP002979,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,0
LP002983,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,1
LP002984,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,0
